iter	Passed	Remaining
0	4	1463
1	10	1516
2	15	1492
3	20	1551
4	25	1532
5	30	1503
6	36	1523
7	41	1529
8	46	1492
9	52	1512
10	58	1527
11	62	1504
12	67	1496
13	73	1506
14	77	1481
15	82	1473
16	87	1464
17	93	1457
18	98	1454
19	103	1449
20	109	1450
21	113	1438
22	119	1437
23	124	1429
24	129	1420
25	135	1423
26	140	1421
27	144	1408
28	150	1407
29	156	1407
30	160	1393
31	165	1385
32	170	1381
33	175	1375
34	180	1366
35	186	1364
36	191	1360
37	196	1354
38	202	1352
39	206	1345
40	211	1337
41	217	1335
42	222	1330
43	227	1321
44	232	1315
45	237	1313
46	242	1303
47	246	1294
48	251	1290
49	256	1284
50	261	1276
51	267	1275
52	272	1269
53	276	1261
54	281	1254
55	287	1253
56	292	1245
57	298	1243
58	303	1239
59	309	1239
60	316	1239
61	322	1237
62	327	1233
63	333	1228
64	338	1224
65	343	1217
66	349	1216
67	355	1211
68	359	1204
69	365	1201
70	370	1195
71	375	1189
72	381	1185
73	386	1180
74	391	1174
75	396	1169
76	402	1165
77	407	1158
78	412	1152
79	418	1150
80	422	1142
81	427	1135
82	433	1132
83	438	1127
84	443	1121
85	448	1116
86	454	1112
87	459	1105
88	464	1102
89	469	1096
90	474	1089
91	480	1086
92	486	1082
93	490	1075
94	497	1073
95	502	1068
96	506	1060
97	512	1056
98	518	1052
99	522	1045
100	528	1040
101	533	1035
102	537	1028
103	542	1021
104	547	1016
105	552	1010
106	556	1003
107	562	999
108	567	993
109	571	987
110	577	982
111	582	978
112	587	971
113	592	966
114	598	963
115	603	957
116	608	951
117	614	947
118	619	941
119	624	936
120	630	932
121	635	926
122	639	920
123	645	916
124	650	910
125	654	904
126	660	899
127	665	894
128	669	887
129	674	882
130	680	878
131	685	871
132	689	865
133	696	862
134	700	856
135	704	849
136	710	844
137	715	839
138	719	833
139	723	827
140	730	823
141	734	817
142	739	811
143	745	807
144	749	801
145	754	796
146	761	792
147	765	786
148	770	781
149	776	776
150	781	771
151	786	765
152	791	760
153	797	756
154	802	750
155	808	746
156	813	740
157	818	735
158	823	730
159	830	726
160	834	720
161	840	715
162	845	710
163	849	704
164	854	698
165	860	694
166	864	688
167	869	683
168	876	679
169	880	673
170	885	667
171	890	662
172	896	657
173	900	652
174	905	646
175	911	642
176	915	636
177	920	630
178	926	626
179	930	620
180	935	615
181	942	610
182	947	605
183	952	600
184	959	596
185	963	590
186	968	585
187	975	581
188	980	575
189	985	570
190	991	566
191	996	560
192	1001	555
193	1007	550
194	1012	545
195	1017	539
196	1023	535
197	1027	529
198	1032	523
199	1037	518
200	1042	513
201	1047	508
202	1051	502
203	1057	497
204	1062	492
205	1066	486
206	1073	482
207	1076	476
208	1080	470
209	1085	465
210	1091	460
211	1096	454
212	1100	449
213	1107	444
214	1111	439
215	1116	434
216	1122	429
217	1126	423
218	1130	418
219	1137	413
220	1142	408
221	1145	402
222	1150	397
223	1156	392
224	1161	387
225	1166	381
226	1172	377
227	1177	371
228	1181	366
229	1188	361
230	1193	356
231	1198	351
232	1204	346
233	1208	340
234	1213	335
235	1219	330
236	1224	325
237	1228	320
238	1233	314
239	1239	309
240	1243	304
241	1248	299
242	1254	294
243	1258	288
244	1263	283
245	1269	278
246	1273	273
247	1277	267
248	1284	262
249	1289	257
250	1293	252
251	1297	247
252	1304	242
253	1308	236
254	1315	232
255	1321	227
256	1325	221
257	1331	216
258	1337	211
259	1341	206
260	1346	201
261	1353	196
262	1357	190
263	1362	185
264	1369	180
265	1373	175
266	1378	170
267	1385	165
268	1389	160
269	1394	154
270	1400	149
271	1404	144
272	1409	139
273	1414	134
274	1420	129
275	1424	123
276	1429	118
277	1435	113
278	1439	108
279	1444	103
280	1450	98
281	1454	92
282	1459	87
283	1466	82
284	1469	77
285	1473	72
286	1478	66
287	1485	61
288	1489	56
289	1492	51
290	1499	46
291	1504	41
292	1508	36
293	1514	30
294	1519	25
295	1523	20
296	1529	15
297	1535	10
298	1539	5
299	1543	0
