pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,788.45
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,804.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,858.30
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,856.83
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,854.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,848.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,836.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,836.70
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,852.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,859.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,857.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,855.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,850.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,837.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,846.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,854.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,860.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,859.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,857.20
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,851.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,841.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,846.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,856.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,858.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,856.60
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,854.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,851.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,847.90
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,849.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,860.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,862.37
